image1,image2,ssim_score
cat_1038.png,cat_1264.png,0.543422
cat_1167.png,cat_1307.png,0.543314
cat_1038.png,cat_1279.png,0.543202
cat_1093.png,cat_1279.png,0.543190
cat_108.png,cat_1177.png,0.543084
cat_10.png,cat_1165.png,0.543042
cat_1182.png,cat_1279.png,0.543026
cat_1170.png,cat_1265.png,0.542981
cat_1167.png,cat_1274.png,0.542823
cat_1051.png,cat_124.png,0.542815
cat_1282.png,cat_1304.png,0.542775
cat_1133.png,cat_1271.png,0.542680
cat_1271.png,cat_1272.png,0.542663
cat_1175.png,cat_1264.png,0.542654
cat_103.png,cat_1091.png,0.542567
cat_1191.png,cat_1210.png,0.542544
cat_1050.png,cat_1167.png,0.542503
cat_1021.png,cat_1162.png,0.542485
cat_1050.png,cat_1190.png,0.542474
cat_1199.png,cat_1210.png,0.542441
cat_1104.png,cat_1147.png,0.542230
cat_103.png,cat_1210.png,0.542096
cat_1199.png,cat_1213.png,0.542073
cat_1021.png,cat_119.png,0.542031
cat_103.png,cat_1246.png,0.542022
cat_1016.png,cat_1112.png,0.541945
cat_1104.png,cat_1274.png,0.541886
cat_10.png,cat_1034.png,0.541829
cat_10.png,cat_1264.png,0.541769
cat_1162.png,cat_1302.png,0.541402
cat_1127.png,cat_1264.png,0.541354
cat_1011.png,cat_1282.png,0.541252
cat_1112.png,cat_1246.png,0.541140
cat_1040.png,cat_1282.png,0.541044
cat_1112.png,cat_1213.png,0.540984
cat_1034.png,cat_1178.png,0.540953
cat_1012.png,cat_1021.png,0.540922
cat_1050.png,cat_1112.png,0.540895
cat_1008.png,cat_1086.png,0.540639
cat_1279.png,cat_1304.png,0.540566
cat_1105.png,cat_1127.png,0.540467
cat_1170.png,cat_1220.png,0.540436
cat_1039.png,cat_1093.png,0.540408
cat_1152.png,cat_1302.png,0.540252
cat_10.png,cat_1021.png,0.540000
cat_1072.png,cat_1307.png,0.539997
cat_1082.png,cat_1307.png,0.539935
cat_1086.png,cat_1151.png,0.539822
cat_1015.png,cat_1036.png,0.539811
cat_12.png,cat_1279.png,0.539756
cat_1093.png,cat_1246.png,0.539737
cat_1127.png,cat_124.png,0.539679
cat_1040.png,cat_1235.png,0.539627
cat_1040.png,cat_1162.png,0.539616
cat_1210.png,cat_1307.png,0.539466
cat_1008.png,cat_103.png,0.539397
cat_1039.png,cat_1279.png,0.538986
cat_1152.png,cat_1271.png,0.538908
cat_1021.png,cat_1309.png,0.538874
cat_1039.png,cat_1112.png,0.538774
cat_1271.png,cat_1282.png,0.538729
cat_1127.png,cat_121.png,0.538715
cat_1082.png,cat_1213.png,0.538680
cat_1091.png,cat_1112.png,0.538585
cat_10.png,cat_1170.png,0.538527
cat_1016.png,cat_1199.png,0.538396
cat_1095.png,cat_1199.png,0.538369
cat_1020.png,cat_1040.png,0.538355
cat_109.png,cat_1213.png,0.538313
cat_1091.png,cat_1271.png,0.538107
cat_1264.png,cat_1307.png,0.538000
cat_100.png,cat_1082.png,0.537924
cat_119.png,cat_1302.png,0.537921
cat_10.png,cat_1051.png,0.537855
cat_1037.png,cat_125.png,0.537745
cat_1264.png,cat_1304.png,0.537724
cat_1038.png,cat_1098.png,0.537710
cat_1112.png,cat_1182.png,0.537708
cat_1011.png,cat_1112.png,0.537594
cat_1007.png,cat_1050.png,0.537542
cat_1112.png,cat_1274.png,0.537479
cat_1104.png,cat_1250.png,0.537454
cat_1082.png,cat_1167.png,0.537397
cat_1038.png,cat_1112.png,0.537366
cat_10.png,cat_1246.png,0.537362
cat_1213.png,cat_1308.png,0.537335
cat_10.png,cat_112.png,0.537204
cat_1127.png,cat_1213.png,0.537134
cat_1036.png,cat_1222.png,0.537034
cat_1050.png,cat_1271.png,0.537003
cat_1011.png,cat_1250.png,0.536845
cat_1182.png,cat_1304.png,0.536671
cat_1167.png,cat_121.png,0.536639
cat_1046.png,cat_1055.png,0.536612
cat_1039.png,cat_1307.png,0.536403
cat_1213.png,cat_1274.png,0.536306
cat_1021.png,cat_121.png,0.536223
cat_1055.png,cat_1262.png,0.536189
cat_1050.png,cat_1250.png,0.536168
cat_1037.png,cat_1055.png,0.536122
cat_103.png,cat_1307.png,0.536098
cat_1006.png,cat_1037.png,0.536056
cat_124.png,cat_1246.png,0.535999
cat_1040.png,cat_121.png,0.535980
cat_1177.png,cat_1274.png,0.535536
cat_1104.png,cat_1272.png,0.535423
cat_1093.png,cat_1110.png,0.535413
cat_1091.png,cat_1093.png,0.535348
cat_100.png,cat_1105.png,0.535331
cat_103.png,cat_1304.png,0.535283
cat_1182.png,cat_1213.png,0.535272
cat_1093.png,cat_1165.png,0.535233
cat_1162.png,cat_1177.png,0.535193
cat_108.png,cat_1105.png,0.535096
cat_1190.png,cat_1264.png,0.535069
cat_1152.png,cat_1190.png,0.534991
cat_1011.png,cat_1045.png,0.534907
cat_1020.png,cat_1050.png,0.534761
cat_1016.png,cat_1093.png,0.534707
cat_1088.png,cat_1177.png,0.534621
cat_10.png,cat_128.png,0.534609
cat_1038.png,cat_1271.png,0.534438
cat_1133.png,cat_1264.png,0.534400
cat_1050.png,cat_1127.png,0.534231
cat_1008.png,cat_1167.png,0.534214
cat_109.png,cat_1104.png,0.534172
cat_1051.png,cat_1265.png,0.534094
cat_1050.png,cat_1199.png,0.534063
cat_1098.png,cat_119.png,0.533749
cat_1175.png,cat_1210.png,0.533717
cat_1199.png,cat_1304.png,0.533546
cat_1190.png,cat_1213.png,0.533516
cat_1040.png,cat_128.png,0.533453
cat_1167.png,cat_1282.png,0.533437
cat_1011.png,cat_1095.png,0.533430
cat_1105.png,cat_1264.png,0.533201
cat_1093.png,cat_1151.png,0.533081
cat_1167.png,cat_1210.png,0.532918
